year,round,grid,positionOrder
2020,14,15,5
2020,14,2,6
2020,14,4,7
2020,14,14,8
2020,14,1,9
2020,14,5,10
2020,14,7,11
2020,14,16,12
2020,14,19,13
2020,14,9,14
2020,14,8,15
2020,14,0,16
2020,14,13,17
2020,14,17,18
2020,14,0,19
2020,14,10,20
2020,15,1,1
2020,15,3,2
2020,15,4,3
2020,15,9,4
2020,15,15,5
2020,15,8,6
2020,15,6,7
2020,15,2,8
2020,15,7,9
2020,15,12,10
2020,15,10,11
2020,15,14,12
2020,15,11,13
2020,15,20,14
2020,15,17,15
2020,15,16,16
2020,15,18,17
2020,15,5,18
2020,15,13,19
2020,15,19,20
2020,16,5,1
2020,16,11,2
2020,16,10,3
2020,16,8,4
2020,16,7,5
2020,16,12,6
2020,16,6,7
2020,16,1,8
2020,16,2,9
2020,16,19,10
2020,16,9,11
2020,16,13,12
2020,16,14,13
2020,16,18,14
2020,16,15,15
2020,16,17,16
2020,16,20,17
2020,16,16,18
2020,16,3,19
2020,16,4,20
2020,17,1,1
2020,17,2,2
2020,17,3,3
2020,17,5,4
2020,17,4,5
2020,17,6,6
2020,17,11,7
2020,17,9,8
2020,17,10,9
2020,17,8,10
2020,17,7,11
2020,17,15,12
2020,17,12,13
2020,17,13,14
2020,17,16,15
2020,17,14,16
2020,17,18,17
2020,17,20,18
2020,17,17,19
2020,17,19,20
2021,1,2,1
2021,1,1,2
2021,1,3,3
2021,1,7,4
2021,1,0,5
2021,1,4,6
2021,1,6,7
2021,1,8,8
2021,1,13,9
2021,1,10,10
2021,1,14,11
2021,1,12,12
2021,1,16,13
2021,1,15,14
2021,1,20,15
2021,1,18,16
2021,1,5,17
2021,1,17,18
2021,1,9,19
2021,1,19,20
2021,2,3,1
2021,2,1,2
2021,2,7,3
2021,2,4,4
2021,2,11,5
2021,2,6,6
2021,2,5,7
2021,2,10,8
2021,2,9,9
2021,2,15,10
2021,2,2,11
2021,2,20,12
2021,2,16,13
2021,2,17,14
2021,2,0,15
2021,2,18,16
